//X Y Z Classification
504055.65000153 463012.16000366 383.70999146 2
504058.63999939 463008.26000214 383.75 2
504054.93999863 463013.19999695 383.70999146 2
504058.65999985 463008.33999634 383.72000122 2
504058.86000061 463008.15000153 383.60998535 2
504059.47000122 463007.38999939 383.66000366 2
504055.54999924 463012.61000061 383.67999268 2
504059.11000061 463007.98999786 383.69000244 2
504057.54000092 463010.11000061 383.67999268 2
504055.54000092 463012.80000305 383.67999268 2
504055.95999908 463012.29000092 383.70001221 2
504057.68999863 463010.05000305 383.67999268 2
504055.52999878 463012.98000336 383.73999023 2
504058.84000015 463008.65000153 383.70001221 2
504058.84999847 463008.69000244 383.67999268 2
504055.75 463012.83000183 383.72000122 2
504055.43999863 463013.29000092 383.67999268 2
504056.27000046 463012.25 383.75 2
504059.86000061 463007.56999969 383.75 2
504058.33000183 463009.62999725 383.64001465 2
504059.16999817 463008.58999634 383.61999512 2
504058.45000076 463009.58999634 384.25 16
504059.79000092 463007.87000275 383.75 2
504056.93000031 463011.69000244 383.69000244 2
504056.70999908 463012.02999878 383.76998901 2
504059.11999893 463008.90000153 383.6000061 2
504059.06999969 463008.98999786 384.57000732 16
504057.66999817 463010.88999939 383.69000244 2
504057.63000107 463011 383.64001465 2
504058.06000137 463010.48000336 383.70999146 2
504060.59999847 463007.18000031 383.69000244 2
504056.18999863 463013.02999878 383.85998535 2
504057.61000061 463011.20999908 383.67001343 2
504059.81000137 463008.36000061 383.73001099 2
504060.29000092 463007.75 383.75 2
504057.20999908 463011.87000275 383.6499939 2
504055.88000107 463013.65000153 383.82998657 2
504059.45000076 463008.98999786 384.73001099 16
504060.77000046 463007.30000305 383.64001465 2
504059.15000153 463009.47000122 384.98001099 16
504055.77000046 463013.98000336 383.73001099 2
504057.52000046 463011.72000122 383.63000488 2
504057.68999863 463011.52999878 383.64001465 2
504055.75999832 463014.12000275 383.75 2
504056.88000107 463012.68000031 383.72000122 2
504057.84999847 463011.44999695 383.63000488 2
504056.18999863 463013.66999817 383.79000854 2
504059.70999908 463009.08000183 384.10998535 16
504057.58000183 463011.93000031 383.63000488 2
504059.31999969 463009.68000031 385.55999756 16
504059.61999893 463009.31999969 385.05999756 16
504055.93000031 463014.23000336 383.76000977 2
504057.83000183 463011.75 383.61999512 2
504055.25 463015.22000122 383.82000732 2
504055.45999908 463014.95999908 383.76000977 2
504057.70000076 463012.05999756 383.61999512 2
504057.11999893 463012.86000061 383.75 2
504058.59999847 463010.95999908 383.69000244 2
504055.93999863 463014.5 383.75 2
504058.27000046 463011.45999908 383.70001221 2
